Composition,T,GBR_Pred
Eu0.14Gd0.47Nd0.07Sm0.19PO4,1500,7.105836494453285
Er0.18Eu0.50Nd0.26Sm0.06PO4,1500,7.016646598758936
Eu0.20La0.15Nd0.01Pr0.39Sm0.25PO4,1500,6.9619927674314255
Ce0.30Eu0.15La0.12Sm0.24PO4,1500,6.940608725363111
Ce0.63Eu0.12La0.02Nd0.02Sm0.02PO4,1500,6.912541214096249
Gd0.19Ho0.14La0.02Nd0.04Sm0.61PO4,1500,6.909087999030509
Ce0.51Gd0.09La0.18Pr0.02PO4,1500,6.905678441452489
La0.19Nd0.26Pr0.41Yb0.14PO4,1500,6.904964364152573
Gd0.16Nd0.07Pr0.18Sm0.36PO4,1500,6.894777805859919
La0.30Lu0.06Pr0.60Sm0.04PO4,1500,6.871511496541459
