Composition,T,GBR_Pred
Ce0.11Gd0.42La0.06Sm0.19PO4,100,1.2673867991715273
Ce0.11Gd0.42La0.06Sm0.19PO4,200,3.0592766345746494
Ce0.11Gd0.42La0.06Sm0.19PO4,300,3.9980788779362157
Ce0.11Gd0.42La0.06Sm0.19PO4,400,4.539137880621476
Ce0.11Gd0.42La0.06Sm0.19PO4,500,5.014183298235992
Ce0.11Gd0.42La0.06Sm0.19PO4,600,5.228787187445963
Ce0.11Gd0.42La0.06Sm0.19PO4,700,5.441512189146795
Ce0.11Gd0.42La0.06Sm0.19PO4,800,5.571627717842286
Ce0.11Gd0.42La0.06Sm0.19PO4,900,5.675270893754618
Ce0.11Gd0.42La0.06Sm0.19PO4,1000,5.843944083512812
Ce0.11Gd0.42La0.06Sm0.19PO4,1100,6.001867916094381
Ce0.11Gd0.42La0.06Sm0.19PO4,1200,6.195955755552434
Ce0.11Gd0.42La0.06Sm0.19PO4,1300,6.331799096957795
Ce0.11Gd0.42La0.06Sm0.19PO4,1400,6.369380232294993
Ce0.11Gd0.42La0.06Sm0.19PO4,1500,6.462287151753306
Ce0.11Gd0.42La0.06Sm0.19PO4,1600,6.582933964693646
Ce0.11Gd0.42La0.06Sm0.19PO4,1700,6.661014015306033
Ce0.11Gd0.42La0.06Sm0.19PO4,1800,6.741478861715336
Ce0.11Gd0.42La0.06Sm0.19PO4,1900,7.011831168955982
Ce0.11Gd0.42La0.06Sm0.19PO4,2000,7.122185466139807
Ce0.52La0.20Pr0.05Sm0.11PO4,100,1.0007632217831968
Ce0.52La0.20Pr0.05Sm0.11PO4,200,2.5453339821862198
Ce0.52La0.20Pr0.05Sm0.11PO4,300,3.387317381222109
Ce0.52La0.20Pr0.05Sm0.11PO4,400,3.910227723928622
Ce0.52La0.20Pr0.05Sm0.11PO4,500,4.329027233131599
Ce0.52La0.20Pr0.05Sm0.11PO4,600,4.687520243805682
Ce0.52La0.20Pr0.05Sm0.11PO4,700,4.828734714771648
Ce0.52La0.20Pr0.05Sm0.11PO4,800,5.031001774421378
Ce0.52La0.20Pr0.05Sm0.11PO4,900,5.17391528903167
Ce0.52La0.20Pr0.05Sm0.11PO4,1000,5.307899558460501
Ce0.52La0.20Pr0.05Sm0.11PO4,1100,5.386798242506831
Ce0.52La0.20Pr0.05Sm0.11PO4,1200,5.580886081964884
Ce0.52La0.20Pr0.05Sm0.11PO4,1300,5.628242361500452
Ce0.52La0.20Pr0.05Sm0.11PO4,1400,5.671422274289065
Ce0.52La0.20Pr0.05Sm0.11PO4,1500,5.764329193747379
Ce0.52La0.20Pr0.05Sm0.11PO4,1600,6.020086068389407
Ce0.52La0.20Pr0.05Sm0.11PO4,1700,6.14146099880283
Ce0.52La0.20Pr0.05Sm0.11PO4,1800,6.080501802572724
Ce0.52La0.20Pr0.05Sm0.11PO4,1900,6.21992812356023
Ce0.52La0.20Pr0.05Sm0.11PO4,2000,6.316065929877334
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,100,1.270038820228847
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,200,2.671014831325846
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,300,3.673303428866763
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,400,4.338966929841405
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,500,4.751776528872809
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,600,5.03630201058144
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,700,5.412935556772053
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,800,5.440970961334736
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,900,5.56367323321294
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,1000,5.749965033618048
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,1100,5.724447591434102
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,1200,5.92877463146029
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,1300,6.03673625196564
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,1400,6.349157661341858
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,1500,6.560373783845739
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,1600,6.610192463773714
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,1700,6.80936745369361
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,1800,6.955082626063697
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,1900,7.065296959786937
Ce0.84Pr0.12Sm0.01Tm0.02Y0.01PO4,2000,7.245326855872859
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,100,1.4094297398547495
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,200,3.012017426322797
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,300,4.048961010377944
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,400,4.651334521682885
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,500,5.085997890975584
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,600,5.264968180942171
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,700,5.4265448353969745
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,800,5.720362160065961
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,900,5.938928139376128
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,1000,6.078665443414855
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,1100,6.290420380897594
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,1200,6.484508220355647
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,1300,6.531506025070001
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,1400,6.596136383970103
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,1500,6.700003043200384
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,1600,6.758274208510132
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,1700,6.891619255416296
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,1800,6.993339743091743
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,1900,7.086363284348845
Eu0.62Gd0.15Nd0.12Pr0.01Sm0.01PO4,2000,7.151803078481704
Ce0.03Eu0.04Gd0.52Nd0.18PO4,100,1.2382336228447908
Ce0.03Eu0.04Gd0.52Nd0.18PO4,200,3.0430789217941667
Ce0.03Eu0.04Gd0.52Nd0.18PO4,300,3.9818811651557326
Ce0.03Eu0.04Gd0.52Nd0.18PO4,400,4.5229401678409955
Ce0.03Eu0.04Gd0.52Nd0.18PO4,500,4.9979855854555115
Ce0.03Eu0.04Gd0.52Nd0.18PO4,600,5.216439353211389
Ce0.03Eu0.04Gd0.52Nd0.18PO4,700,5.429164354912221
Ce0.03Eu0.04Gd0.52Nd0.18PO4,800,5.559279883607712
Ce0.03Eu0.04Gd0.52Nd0.18PO4,900,5.658415683087733
Ce0.03Eu0.04Gd0.52Nd0.18PO4,1000,5.827088872845927
Ce0.03Eu0.04Gd0.52Nd0.18PO4,1100,5.985012705427495
Ce0.03Eu0.04Gd0.52Nd0.18PO4,1200,6.179100544885548
Ce0.03Eu0.04Gd0.52Nd0.18PO4,1300,6.292811012779505
Ce0.03Eu0.04Gd0.52Nd0.18PO4,1400,6.332819647798048
Ce0.03Eu0.04Gd0.52Nd0.18PO4,1500,6.425726567256361
Ce0.03Eu0.04Gd0.52Nd0.18PO4,1600,6.546373380196701
Ce0.03Eu0.04Gd0.52Nd0.18PO4,1700,6.641499690858954
Ce0.03Eu0.04Gd0.52Nd0.18PO4,1800,6.721964537268257
Ce0.03Eu0.04Gd0.52Nd0.18PO4,1900,6.992316844508903
Ce0.03Eu0.04Gd0.52Nd0.18PO4,2000,7.115676912363154
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,100,1.237106366087152
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,200,3.0419516650365273
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,300,3.980753908398092
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,400,4.550748796802823
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,500,5.025794214417339
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,600,5.244247982173217
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,700,5.456972983874048
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,800,5.593314476013588
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,900,5.700799416471799
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,1000,5.840536720510526
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,1100,6.01068047066865
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,1200,6.204768310126703
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,1300,6.318478778020659
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,1400,6.358487413039202
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,1500,6.451394332497515
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,1600,6.567162966493497
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,1700,6.66228927715575
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,1800,6.756406788898801
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,1900,7.007629242614668
Eu0.04Gd0.56Nd0.11Pr0.03Sm0.07PO4,2000,7.130989310468919
Ce0.51Gd0.09La0.18Pr0.02PO4,100,1.319773224971419
Ce0.51Gd0.09La0.18Pr0.02PO4,200,3.1032935657513905
Ce0.51Gd0.09La0.18Pr0.02PO4,300,4.054201013899542
Ce0.51Gd0.09La0.18Pr0.02PO4,400,4.575572971949766
Ce0.51Gd0.09La0.18Pr0.02PO4,500,4.990840018822096
Ce0.51Gd0.09La0.18Pr0.02PO4,600,5.319769649767884
Ce0.51Gd0.09La0.18Pr0.02PO4,700,5.840303409580312
Ce0.51Gd0.09La0.18Pr0.02PO4,800,5.989287173918528
Ce0.51Gd0.09La0.18Pr0.02PO4,900,6.09098886048844
Ce0.51Gd0.09La0.18Pr0.02PO4,1000,6.259662050246634
Ce0.51Gd0.09La0.18Pr0.02PO4,1100,6.381115146148763
Ce0.51Gd0.09La0.18Pr0.02PO4,1200,6.575202985606816
Ce0.51Gd0.09La0.18Pr0.02PO4,1300,6.711046327012177
Ce0.51Gd0.09La0.18Pr0.02PO4,1400,6.812771521994175
Ce0.51Gd0.09La0.18Pr0.02PO4,1500,6.905678441452489
Ce0.51Gd0.09La0.18Pr0.02PO4,1600,7.161435316094517
Ce0.51Gd0.09La0.18Pr0.02PO4,1700,7.433749866821259
Ce0.51Gd0.09La0.18Pr0.02PO4,1800,7.425256644020088
Ce0.51Gd0.09La0.18Pr0.02PO4,1900,7.803693765975331
Ce0.51Gd0.09La0.18Pr0.02PO4,2000,8.059331858897336
Ce0.07Gd0.05La0.47Pr0.17PO4,100,0.7992066315944315
Ce0.07Gd0.05La0.47Pr0.17PO4,200,2.603947925492809
Ce0.07Gd0.05La0.47Pr0.17PO4,300,3.57435394776577
Ce0.07Gd0.05La0.47Pr0.17PO4,400,4.115412950451043
Ce0.07Gd0.05La0.47Pr0.17PO4,500,4.586928787726604
Ce0.07Gd0.05La0.47Pr0.17PO4,600,4.811228616667624
Ce0.07Gd0.05La0.47Pr0.17PO4,700,5.023953618368456
Ce0.07Gd0.05La0.47Pr0.17PO4,800,5.156644899744676
Ce0.07Gd0.05La0.47Pr0.17PO4,900,5.2603741066614305
Ce0.07Gd0.05La0.47Pr0.17PO4,1000,5.429047296419625
Ce0.07Gd0.05La0.47Pr0.17PO4,1100,5.609389331535097
Ce0.07Gd0.05La0.47Pr0.17PO4,1200,5.80347717099315
Ce0.07Gd0.05La0.47Pr0.17PO4,1300,5.9393205123985116
Ce0.07Gd0.05La0.47Pr0.17PO4,1400,6.054469876359238
Ce0.07Gd0.05La0.47Pr0.17PO4,1500,6.158336535589517
Ce0.07Gd0.05La0.47Pr0.17PO4,1600,6.28978534349929
Ce0.07Gd0.05La0.47Pr0.17PO4,1700,6.391766499552785
Ce0.07Gd0.05La0.47Pr0.17PO4,1800,6.4863746545971255
Ce0.07Gd0.05La0.47Pr0.17PO4,1900,6.723534489047008
Ce0.07Gd0.05La0.47Pr0.17PO4,2000,6.836833977378379
Ce0.40Gd0.05La0.31Nd0.02PO4,100,1.141362222233008
Ce0.40Gd0.05La0.31Nd0.02PO4,200,2.9097553439727397
Ce0.40Gd0.05La0.31Nd0.02PO4,300,3.854075608821437
Ce0.40Gd0.05La0.31Nd0.02PO4,400,4.395134611506707
Ce0.40Gd0.05La0.31Nd0.02PO4,500,4.870180029121223
Ce0.40Gd0.05La0.31Nd0.02PO4,600,5.199109660067011
Ce0.40Gd0.05La0.31Nd0.02PO4,700,5.411834661767842
Ce0.40Gd0.05La0.31Nd0.02PO4,800,5.541950190463334
Ce0.40Gd0.05La0.31Nd0.02PO4,900,5.645679397380088
Ce0.40Gd0.05La0.31Nd0.02PO4,1000,5.814352587138282
Ce0.40Gd0.05La0.31Nd0.02PO4,1100,5.9734903524331715
Ce0.40Gd0.05La0.31Nd0.02PO4,1200,6.1675781918912245
Ce0.40Gd0.05La0.31Nd0.02PO4,1300,6.303421533296586
Ce0.40Gd0.05La0.31Nd0.02PO4,1400,6.399547950827168
Ce0.40Gd0.05La0.31Nd0.02PO4,1500,6.492454870285481
Ce0.40Gd0.05La0.31Nd0.02PO4,1600,6.74821174492751
Ce0.40Gd0.05La0.31Nd0.02PO4,1700,6.83621970766127
Ce0.40Gd0.05La0.31Nd0.02PO4,1800,6.9166845540705735
Ce0.40Gd0.05La0.31Nd0.02PO4,1900,7.187036861311219
Ce0.40Gd0.05La0.31Nd0.02PO4,2000,7.273720863536865
Eu0.14Gd0.47Nd0.07Sm0.19PO4,100,1.6576810370973232
Eu0.14Gd0.47Nd0.07Sm0.19PO4,200,3.316615872920495
Eu0.14Gd0.47Nd0.07Sm0.19PO4,300,4.41480730547888
Eu0.14Gd0.47Nd0.07Sm0.19PO4,400,5.035244276024665
Eu0.14Gd0.47Nd0.07Sm0.19PO4,500,5.5499194824702265
Eu0.14Gd0.47Nd0.07Sm0.19PO4,600,5.768373250226105
Eu0.14Gd0.47Nd0.07Sm0.19PO4,700,5.9738224979174905
Eu0.14Gd0.47Nd0.07Sm0.19PO4,800,6.136073004536455
Eu0.14Gd0.47Nd0.07Sm0.19PO4,900,6.228026134981375
Eu0.14Gd0.47Nd0.07Sm0.19PO4,1000,6.367763439020102
Eu0.14Gd0.47Nd0.07Sm0.19PO4,1100,6.585624024686778
Eu0.14Gd0.47Nd0.07Sm0.19PO4,1200,6.779711864144831
Eu0.14Gd0.47Nd0.07Sm0.19PO4,1300,6.91519673072898
Eu0.14Gd0.47Nd0.07Sm0.19PO4,1400,7.012929574994971
Eu0.14Gd0.47Nd0.07Sm0.19PO4,1500,7.105836494453285
Eu0.14Gd0.47Nd0.07Sm0.19PO4,1600,7.232407123418699
Eu0.14Gd0.47Nd0.07Sm0.19PO4,1700,7.327135834643216
Eu0.14Gd0.47Nd0.07Sm0.19PO4,1800,7.4373787864777
Eu0.14Gd0.47Nd0.07Sm0.19PO4,1900,7.396518424038939
Eu0.14Gd0.47Nd0.07Sm0.19PO4,2000,7.508390542496425
