Composition,T,GBR_Pred
Er0.20Eu0.20Pr0.20Sm0.20Tm0.20PO4,1500,5.774934732067269
Eu0.20Gd0.20Sc0.20Sm0.20Tm0.20PO4,1500,5.75124057977867
Eu0.20Ho0.20Pr0.20Sm0.20Yb0.20PO4,1500,5.698493915400693
Gd0.25Pr0.25Sc0.25Sm0.25PO4,1500,5.5642961308114005
Gd0.25Nd0.25Sc0.25Sm0.25PO4,1500,5.438804764448628
Eu0.25Gd0.25Sc0.25Sm0.25PO4,1500,5.385444828484318
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,1500,5.3274619606479545
Ce0.25Gd0.25Pr0.25Sc0.25PO4,1500,5.294148266627073
Gd0.25La0.25Sc0.25Sm0.25PO4,1500,5.274792736230923
Er0.20Gd0.20Pr0.20Sm0.20Tm0.20PO4,1500,5.215274027073619
