Composition,T,RF_Pred
Ce0.20Er0.20Gd0.20Sc0.20Sm0.20PO4,1500,0.8680222072699999
Eu0.25Gd0.25Sc0.25Sm0.25PO4,1500,0.95168324668
Gd0.25La0.25Sc0.25Sm0.25PO4,1500,1.0223186867599998
Eu0.20Gd0.20Sc0.20Sm0.20Tm0.20PO4,1500,1.0599050641899994
Gd0.25Nd0.25Sc0.25Sm0.25PO4,1500,1.10367184944
Er0.20Eu0.20Pr0.20Sm0.20Tm0.20PO4,1500,1.1583523512600002
Er0.20Gd0.20Pr0.20Sm0.20Tm0.20PO4,1500,1.16340676915
Ce0.25Gd0.25Pr0.25Sc0.25PO4,1500,1.16602037595
Gd0.25Pr0.25Sc0.25Sm0.25PO4,1500,1.16638523798
Eu0.20Ho0.20Pr0.20Sm0.20Yb0.20PO4,1500,1.17370515867
